"repo","time_since_last_push","stars_count","forks_count"
"Alpine-DAV/alpine-dav.github.io",178487575,2,0
"Alpine-DAV/amr-wind",69107033,0,0
"Alpine-DAV/amrex",350285,0,0
"Alpine-DAV/ap_compositor",31019636,1,0
"Alpine-DAV/ascent",328181,146,57
"Alpine-DAV/ascent_gpu_dashboard",91779029,0,0
"Alpine-DAV/cinema_explorer",65657742,0,0
"Alpine-DAV/cinema_helpers",53209675,0,0
"Alpine-DAV/cinema_viewers",85460368,0,0
"Alpine-DAV/conduit-feedstock",49156848,0,0
"Alpine-DAV/cumath_cmake_basic",44219113,0,0
"Alpine-DAV/genten",44302241,0,0
"Alpine-DAV/hmc2017",165192881,0,1
"Alpine-DAV/hmc2019",99784818,0,0
"Alpine-DAV/IAMR",74138679,0,0
"Alpine-DAV/isav_2017",181531339,2,0
"Alpine-DAV/isav_2018",149998666,1,1
"Alpine-DAV/Nyx",96517136,0,0
"Alpine-DAV/PeleLM",71954983,1,0
"Alpine-DAV/PeleLMTestSim",51028860,0,0
"Alpine-DAV/RAJA",7861257,1,0
"Alpine-DAV/sc20_tutorial_web",84328126,0,0
"Alpine-DAV/scikit-garden",168278694,0,0
"Alpine-DAV/spack",1890271,0,1
"Alpine-DAV/spack_configs",7096041,0,0
"Alpine-DAV/sw4",122607498,0,0
"Alpine-DAV/sw4_uberenv",124247257,0,0
"Alpine-DAV/testsuite",50519152,0,0
"Alpine-DAV/third-party-mirror",94499551,0,0
"Alpine-DAV/vtk-h",31019434,10,14
"Alpine-DAV/vtkm_sprint.io",153964465,0,0
"Alpine-DAV/WarpX",587789,0,0
"Alpine-DAV/WarpXTestSimulation",133899250,0,0
"AlvaroC-ML/equivariant-cgcnn",17062491,0,0
"amanzi/amanzi",133026,43,32
"amanzi/ats",334142,31,32
"amarathe84/caliper",119217209,0,0
"amarathe84/geopm",1962608,1,1
"amdcomputelibraries/computeapps",112559686,23,11
"Ames-Laboratory/ParFit",253054821,0,0
"ames-laboratory-cyber-group/cydime",244932523,3,0
"amrex-astro/castro",246273,241,85
"amrex-astro/ml-reactions",7422177,2,3
"amrex-codes/mfix-exa",4397212,7,11
"amstocker/LBNLResearch",272796569,0,1
"amy-huang/unofficialLLNLinternguide",185373900,0,0
"amyglix/re-explorer",202673437,1,0
"ana-tudor/openqasm_to_qtrl",122641441,1,1
"anacronw/power-up",294309364,1,0
"anandharaju/Detecting_Lateral_Movement_of_Malwares_1",139518573,0,0
"andersen-lab/ivar",851845,103,36
"andre-merzky/hello_jsrun",136935966,0,0
"andreawinters/PNNLRebuild",278385147,1,1
"Andrew-C-Peterson/AFA-Steels-ML",81125769,0,0
"AndrewCWalker/impact-tpmc",199762853,2,2
"andrewstarritt/kryten",75547259,2,0
"andycasey/ads",3792194,152,70
"AndySomogyi/sundials",188913597,0,2
"andyzfchen/mean",122338076,0,0
"andyzfchen/planets",122513046,0,0
"angelfp/wake-t",4524095,20,11
"aniketkt/ctsegnet",67558586,23,6
"aniketkt/tomo2mesh",26760274,4,1
"aniketkt/tomoencoders",34109941,2,4
"ankitkariryaa/an-unexpectedly-large-count-of-trees-in-the-western-sahara-and-sahel",18278036,65,27
"ankurlimaye/energy-characterization-of-graph-workloads-data",83723991,0,0
"anl-ceeesa/miplearn",2425257,98,17
"anl-ceeesa/powersas.m",10684363,12,4
"anl-ceeesa/relog",4482573,5,1
"anl-ceeesa/unitcommitment.jl",1734661,80,17
"ANL-CESAR/EBMS",256699250,0,2
"anl-cesar/rsbench",6726443,17,24
"anlsys/aml",4919459,4,2
"anlsys/libnrm",1221551,6,0
"anlsys/nrm-core",183920,3,1
"anlsys/nrm-python",11478927,2,0
"anrunw/pnnl",62290064,0,0
"anthonynguyen2021/ANL_research_intern",17077800,1,0
"anthonynguyen2021/Optimization",17148076,0,0
"anthonysmc/LBNL-ATLAS-and-BELLA",9929710,1,0
"AntoniaGogoglou/2017-07-20-lbnl",188102340,0,1
"antoniodagnino/GeothermalDatathon",30726131,1,0
"apeyton/plants",220819194,0,0
"api-evangelist/department-of-energy",111801121,0,1
"api-evangelist/national-renewable-energy-laboratory",111778456,1,1
"APPFL/APPFL",775965,33,5
"APPFL/APPFLx-doc",1857694,0,0
"APPFL/APPFL_Applications",13713469,1,0
"APPFL/DataReconstruction",41727361,0,0
"APPFL/DPFL-IADMM-Classification",55369230,1,1
"APPFL/tutorials",52084997,1,0
"apptainer/apptainer",121196,614,92
"aps-xsd-opt-group/wavepy2",11826361,0,0
"APSDetectors/ADGermaniumStrip",165797819,1,2
"APSDetectors/ADPluginAPSGoogleProto",241494297,1,1
"APSDetectors/ADPluginHexMap",241656623,1,0
"APSDetectors/CryostatAnalysis",75068263,0,0
"APSDetectors/detectorMPI",232835724,4,7
"APSDetectors/GSD-python-zmq",107184290,0,0
"APSDetectors/HPD107Analysis",65492527,0,0
"APSDetectors/NDPluginFileGe",192331142,0,1
"APSDetectors/NDPluginFileIMM",141596103,0,2
"APSDetectors/NDPluginGEStripDebug",192573360,0,1
"APSDetectors/pipeWriterDemo",223959621,0,1
"APSDetectors/pyEpicsDb",231722510,0,1
"APSDetectors/qtGSD",107822605,0,0
"APSDetectors/RoachFirmPy",107821965,3,1
"APSDetectors/StartupGUI",44384040,1,4
"APSDetectors/TES",214362512,0,0
"APSDetectors/TES-absorber-efficiencies",183324409,0,1
"APSDetectors/ZeroMQ-publish-ADR-Temp",183328715,0,0
"apsiex/iexplot",9328063,0,2
"archspec/archspec",142577,79,20
"areaDetector/ADADSC",106544249,0,3
"areaDetector/ADAndor",9938207,7,18
"areaDetector/ADAndor3",6641964,4,12
"areaDetector/ADAravis",6043790,5,3
"areaDetector/ADBinaries",208917021,2,6
"areaDetector/ADBruker",106544335,0,2
"areaDetector/ADCameralink",108776724,1,2
"areaDetector/ADCompVision",9934727,2,6
"areaDetector/ADCore",3473145,18,59
"areaDetector/ADCSimDetector",9932100,1,3
"areaDetector/ADDexela",9940892,2,5
"areaDetector/ADEiger",9936205,9,7
"areaDetector/ADExample",208911988,0,6
"areaDetector/ADFastCCD",9940786,1,5
"areaDetector/ADFireWireWin",106544552,0,1
"areaDetector/ADGenICam",3299454,6,13
"areaDetector/ADLambda",9351643,2,9
"areaDetector/ADLightField",7369203,0,3
"areaDetector/ADmar345",9932467,0,3
"areaDetector/ADmarCCD",9940514,0,3
"areaDetector/ADMerlin",108763083,2,5
"areaDetector/ADMMPAD",108763191,1,1
"areaDetector/ADMythen",6730219,2,7
"areaDetector/ADnED",106708014,0,0
"areaDetector/ADPCO",108762811,1,3
"areaDetector/ADPcoWin",61418432,0,3
"areaDetector/ADPerkinElmer",9940569,5,7
"areaDetector/ADPhotonII",106544802,0,0
"areaDetector/ADPhotron",67731616,0,2
"areaDetector/ADPICam",965796,1,1
"areaDetector/ADPilatus",2595195,2,6
"areaDetector/ADPixirad",9940832,0,3
"areaDetector/ADPluginBar",45699308,3,3
"areaDetector/ADPluginCentroids",99956051,0,1
"areaDetector/ADPluginEdge",108760935,1,4
"areaDetector/ADPointGrey",9940688,6,6
"areaDetector/ADProsilica",9936938,0,15
"areaDetector/ADPSL",106544745,0,6
"areaDetector/ADPvCam",9931984,0,5
"areaDetector/ADPylon",4868854,0,1
"areaDetector/ADQImaging",73190804,0,3
"areaDetector/ADRIXSCam",9935624,0,1
"areaDetector/ADRoper",106544989,1,2
"areaDetector/ADSBIG",225758977,0,0
"areaDetector/ADSimDetector",9940996,1,12
"areaDetector/ADSpinnaker",9936577,3,6
"areaDetector/ADSupport",32849509,0,13
"areaDetector/ADTimePix",144788797,0,0
"areaDetector/ADTimePix3",162667,0,1
"areaDetector/ADURL",9938110,2,5
"areaDetector/ADUVC",12786928,1,4
"areaDetector/ADViewers",9936852,2,6
"areaDetector/ADVimba",6347235,0,5
"areaDetector/aravisGigE",57821749,14,15
"areaDetector/areaDetector",9778505,31,37
"areaDetector/areaDetector.github.io",33599307,0,1
"areaDetector/ffmpegServer",45698658,1,7
"areaDetector/ffmpegViewer",277289910,3,1
"areaDetector/firewireDCAM",171080594,1,0
"areaDetector/NDDriverStdArrays",9934258,0,2
"areaDetector/pvaDriver",9938066,0,5
"areaDetector/specsAnalyser",3368258,2,4
"arfc/moltres",5171260,58,34
"arfc/uiuc-arfc-2019-01",124318880,0,0
"argonne-lcf/active-learning-md",54510612,20,8
"argonne-lcf/ai-science-training-series",4227482,101,211
"argonne-lcf/ai-testbed-tutorials",37679806,0,0
"argonne-lcf/ai-testbed-userdocs",10458522,4,1
"argonne-lcf/AI4ScienceTutorial",122164717,18,20
"argonne-lcf/AIAccelerators-AE",27371941,1,0
"argonne-lcf/AIaccelerators-SC22-tutorial",20286189,7,2
"argonne-lcf/AITS-Site",73268143,0,0
"argonne-lcf/ALCF-AI-Testbed",57543062,1,0
"argonne-lcf/ALCF-AR2022",1480301,0,0
"argonne-lcf/alcf-mpi-benchmarks",53382166,0,0
"argonne-lcf/alcf-userguide",257039,10,14
"argonne-lcf/ALCFBeginnersGuide",3289166,5,4
"argonne-lcf/alcl",67630302,6,3
"argonne-lcf/ATPESC_MachineLearning",27552503,27,22
"argonne-lcf/autoperf",12179984,2,4
"argonne-lcf/babeltrace-ruby",71709188,0,0
"argonne-lcf/babeltrace2-ruby",8646293,1,0
"argonne-lcf/balsam",605079,67,22
"argonne-lcf/balsam-serial-mode-profiling",90462820,1,0
"argonne-lcf/cast-to-yaml",90209535,1,0
"argonne-lcf/CCS",328148,1,1
"argonne-lcf/cinema-ods",32136329,0,1
"argonne-lcf/cliloader_parser",115848888,0,0
"argonne-lcf/CompPerfWorkshop",23595708,29,15
"argonne-lcf/compperfworkshop-2021",23595708,29,15
"argonne-lcf/conda_install_scripts",24277594,2,5
"argonne-lcf/container-registry",2043333,0,0
"argonne-lcf/DL-Profiling-Examples",118635778,4,3
"argonne-lcf/dlio_benchmark",637510,20,8
"argonne-lcf/dlSoftwareTests",29033798,3,1
"argonne-lcf/dl_scaling",1906434,0,0
"argonne-lcf/docker_image_recipes",36026253,1,0
"argonne-lcf/ffi-value",35226932,0,0
"argonne-lcf/GettingStarted",2494423,11,5
"argonne-lcf/gp-tutorials",25144768,0,0
"argonne-lcf/HPC-Patterns",7589091,9,3
"argonne-lcf/jupyter-mpi",49160626,0,0
"argonne-lcf/libCEED",913754,1,0
"argonne-lcf/libparanumal",7747594,2,1
"argonne-lcf/LLM-Eval-AIAccelerators",3898031,0,0
"argonne-lcf/MELA",64266527,0,0
"argonne-lcf/mlprof",699573,2,0
"argonne-lcf/molan",13111002,23,17
"argonne-lcf/mpi4jax",26767072,0,0
"argonne-lcf/nekBench",48637079,1,1
"argonne-lcf/nekRS",870319,4,0
"argonne-lcf/occa",347991,12,0
"argonne-lcf/openpbs",4475350,2,0
"argonne-lcf/PINO",51554946,0,0
"argonne-lcf/polaris-userdocs",12787119,2,1
"argonne-lcf/PyModuleSnooper",22637084,0,0
"argonne-lcf/PythonFOAM",567835,141,38
"argonne-lcf/sdl_ai_workshop",18732243,36,27
"argonne-lcf/sdl_workshop",18732243,36,27
"argonne-lcf/streamparanumal",54507512,0,0
"argonne-lcf/SyclCPLX",849825,3,6
"argonne-lcf/sycltrain",11124848,34,20
"argonne-lcf/TensorFlowFoam",12240198,171,66
"argonne-lcf/THAPI",183311,14,5
"argonne-lcf/THAPI-spack",171716,3,1
"argonne-lcf/ThetaGPU-Docs",17787360,5,11
"argonne-lcf/thetagpu_conda_channel",85377938,0,0
"argonne-lcf/theta_conda_channel",85379466,1,0
"argonne-lcf/user-guides",257039,10,14
"argonne-lcf/vanidl",27547890,0,0
"argonne-lcf/vasp-users",144008768,0,0
"Argonne-National-Laboratory/APPROD",213487659,0,0
"Argonne-National-Laboratory/Arcond",260211520,0,2
"Argonne-National-Laboratory/argonne-national-laboratory.github.io",102893719,1,2
"Argonne-National-Laboratory/BCUS",107642201,10,6
"Argonne-National-Laboratory/BotnetTimeline",173821497,0,0
"Argonne-National-Laboratory/Checkpointing.jl",490851,30,1
"Argonne-National-Laboratory/CIP.io",9142631,0,0
"Argonne-National-Laboratory/cloud-data-physicality",213296821,0,1
"Argonne-National-Laboratory/cyber-defense-competition",165338992,3,1
"Argonne-National-Laboratory/deer",5175142,5,11
"Argonne-National-Laboratory/DSP",318994,73,22
"Argonne-National-Laboratory/DSPsolver.jl",215868706,2,6
"Argonne-National-Laboratory/ENPEP-windows",54178066,1,0
"Argonne-National-Laboratory/FARM",7351918,3,7
"Argonne-National-Laboratory/Frhodo",22795848,24,8
"Argonne-National-Laboratory/GFM",248128743,4,2
"Argonne-National-Laboratory/goose",59435478,0,0
"Argonne-National-Laboratory/ISOmodel",82380591,17,9
"Argonne-National-Laboratory/jcondor",262026171,0,1
"Argonne-National-Laboratory/MaximinOPF.jl",85275378,9,1
"Argonne-National-Laboratory/meg-server",181794251,3,1
"Argonne-National-Laboratory/MEGAndroid",206314805,1,3
"Argonne-National-Laboratory/megthunderbird",209211869,0,1
"Argonne-National-Laboratory/neml",7524726,9,17
"Argonne-National-Laboratory/nessus_compliance_generator",190502533,14,1
"Argonne-National-Laboratory/NetDecOPF.jl",57686570,6,2
"Argonne-National-Laboratory/node-red-contrib-carwings",207446128,4,2
"Argonne-National-Laboratory/node-red-contrib-chargepoint",209934986,2,0
"Argonne-National-Laboratory/node-red-contrib-comed-rrtp",142285668,1,1
"Argonne-National-Laboratory/node-red-contrib-modbustcp",66694843,13,15
"Argonne-National-Laboratory/node-red-contrib-oadr-ven",2678456,7,6
"Argonne-National-Laboratory/node-red-contrib-ocpp",3397927,26,28
"Argonne-National-Laboratory/node-red-contrib-os",63176158,8,10
"Argonne-National-Laboratory/Pam-2man-Auth",192976457,27,4
"Argonne-National-Laboratory/PIPS",69313016,69,20
"Argonne-National-Laboratory/PIPSDoc",197230523,0,3
"Argonne-National-Laboratory/POLARIS-ISOmodel",61673681,0,0
"Argonne-National-Laboratory/PowerSystemsEstimation",235612995,3,1
"Argonne-National-Laboratory/ProMC",184735738,4,6
"Argonne-National-Laboratory/pycreep",162483,0,0
"Argonne-National-Laboratory/PyGMI",77772908,30,8
"Argonne-National-Laboratory/pyoptmat",776402,2,3
"Argonne-National-Laboratory/sam-forum",60788431,4,0
"Argonne-National-Laboratory/SimDependency",177196620,2,0
"Argonne-National-Laboratory/srlife",854637,5,7
"Argonne-National-Laboratory/StEWI4GREET",148873104,0,0
"Argonne-National-Laboratory/StructJuMP.jl",122953383,0,2
"Argonne-National-Laboratory/StructJuMPSolverInterface.jl",117918038,0,2
"Argonne-National-Laboratory/torantula",80602354,9,3
"argonne-national-laboratory-sac/decarb",2677160,0,0
"Argonne-QIS/Argonne-QIS-Papers",63900955,0,0
"Argonne-QIS/Argonne-Quantum-Computing-Tutorial-2021",64796107,10,16
"Argonne-QIS/QREChem",3289184,0,0
"Argonne-QIS/QTensor",55673536,2,0
"Argonne-QIS/QTensor-mini",55422154,0,0
"argonnecpac/dsps",3112122,18,1
"arianmaghsoudnia/LBNL74_building_behaviour",104270060,0,0
"aricachhay/lbnl-elastic-test",10883743,0,0
"arjuns-code-center/ORNL_Coding",59864538,0,1
"aroepe/Bootcamp",122513196,0,0
"arokem/2016-12-01-PNNL-ttt",208144074,0,0
"arpanbiswas52/mobo_afi_supplements",12787372,1,1
"arshadzahangirchowdhury/roi-finder",19521278,1,2
"arthur-e/2017-07-26-LBL",187850254,0,0
"arthur-e/2018-08-23-LBNL",153757035,0,0
"ArtistMonkey83/PavilionTestHarness",92095294,1,2
"arun-custom/LLNL-Angular-2-Day",241911092,1,1
"arvindr9/llnl_hackathon",124050558,1,0
"arxrean/AIHack2022",39475884,1,1
"asantucci/Climate-Modeling",250093012,0,0
"ashander/doe-data",201627090,0,0
"ashermancinelli/python-pnnl-demo",95208787,0,0
"ashiklom/pnnl-quickstarter-2019",123559396,0,0
"AshtonKirol/PNNL",7340184,0,0
"asl1219/meta-PNNL-2021",59366792,0,0
"astro250/sping2017",204586702,3,0
"atlas-calo-ml/gn4pions_eastbay",25387910,3,1
"atlas-calo-ml/GraphNets4Pions_LLNL",52968858,1,0
"atlas-calo-ml/LCStudies",53981221,2,13
"atlas-calo-ml/ML4PIONS_GRAPH",25618642,1,0
"atomconsortium/ampl",341397,113,53
"atomisticnet/aenet",41490825,101,39
"atomisticnet/aenet-lammps",40854522,7,1
"atomisticnet/aenet-lammps-1",62203167,0,1
"atomisticnet/aenet-python",2179928,1,1
"atomisticnet/aenet-PyTorch",3885402,6,0
"atomisticnet/aenet-tinker",59604991,1,0
"atomisticnet/aetoms",76512755,0,0
"atomisticnet/aevo",97870304,5,0
"atomisticnet/aiqu-kickoff-bayer-berlin-2022",33067701,1,0
"atomisticnet/dribble",12240005,2,0
"atomisticnet/gibbsml",55893208,8,3
"atomisticnet/howru",40704002,1,0
"atomisticnet/ml-catalysis",3698311,9,8
"atomisticnet/MLP-beginners-guide",68916554,22,5
"atomisticnet/mlse2020-workshop",56174072,5,1
"atomisticnet/psi-k-mlip-workshop-2021",51833863,7,2
"atomisticnet/pytorch",135999133,1,0
"atomisticnet/tools-and-data",65202697,44,9
"atomisticnet/xas-tools",12240749,9,1
"atomscience-org/ampl",341397,113,53
"august-of-wind/GenomeVisualization",249308607,4,2
"auroc10/LBNL",106505280,0,0
"ausabino/llnl-OpenMP",75098514,0,0
"auto-mech/nst",53650482,1,1
"auto-mech/onedmin",34218206,0,0
"auto-mech/pippy",53909997,3,1
"avcopan/argonne-demo",127876611,1,0
"avellko/indexlaue",17866886,0,0
"AvisekNaug/buildings_library_dev",20026861,0,0
"avocado1023/ORNLNeutron.github.io",149396911,0,0
"avr-aics-riken/hive",138884789,10,4
"avr-aics-riken/pdmlib",176401906,3,3
"aws/aws-cli",126492,13950,3776
"awslabs/palace",599455,132,26
"axboe/liburing",207093,2211,327
"axu8888/argonne",82475230,0,0
"aysabela/LLNL-Internship-Code",83022672,0,0
"b-fg/PPPL_2021",58325785,0,0
"ba50/nBody",218597936,0,0
"bachiraoun/fullrmc",13381040,25,17
"bachiraoun/scedasticity",219254897,0,0
"baguila/PNNLTest",242171568,0,1
"balsam-alcf/balsam",72830616,0,0
"balsam-alcf/vasp-users",72830238,1,0
"baoboa/pizza-lammps",309652232,5,2
"basvandervlies/nhc-debian",164095986,1,0
"Batosay1337/opensource.llnl.gov",9461570,0,0
"battery-lcf/battery-archive-sandbox",49163973,31,14
"bbartling/hvac_volttron_agents",951204,0,0
"bcal-lidar/tools",217981161,15,12
"bccp/website",1796652,0,13
"bcda-aps/adl2pydm",27892092,0,3
"bcda-aps/apstools",3804854,13,7
"bcda-aps/bluesky_training",777835,7,0
"bcda-aps/epics-bluesky-vm",58057126,1,0
"bcda-aps/pvview",80427870,0,0
"bcda-aps/pvwebmonitor",19147655,2,1
"bcda-aps/tiled-template",10266005,0,1
"bd4/Hello_jsrun",162846339,0,0
"bdallemolle/Argonne2014",264189963,0,0
"bears-r-us/arkouda",154941,204,63
"bechbd/windows-log-data-etl-to-neptune",2771716,0,0
"beckslopez/Visualizing-Randomized-Optimization-Methods",31861981,1,0
"BenBrands/pNNLS",99981010,0,1
"benedictau1993/neuron-segmentation",77136638,6,2
"benjholla/anlcdc2017-web",195881898,1,1
"BenLand100/dune-artdaq",65564036,0,0
"BenLand100/dune-raw-data",74461189,0,0
"benmarwick/jstorr",206009841,69,20
"benmcclelland/cobalt",282837012,1,0
"BenWibking/hacc-coral",257648034,2,0
"benzwick/mvox",5651270,2,1
"bericp1/aps-beam-notify",30938372,0,0
"bericp1/aps-beam-notify-legacy",44622102,0,0
"beril-model/beril-model",4557111,1,0
"berkeley-container-library/bcl",46813788,107,18
"berkeleybear/matlab_challenges",247766408,0,0
"BerkeleyLab/Bedrock",157147,31,7
"BerkeleyLab/BWUDP",17707896,0,0
"BerkeleyLab/caffeine",3862985,31,4
"BerkeleyLab/CAL-BPM",55878989,0,1
"BerkeleyLab/CMOC",148168435,5,1
"BerkeleyLab/flang-testing-project",694333,2,0
"BerkeleyLab/Global-Feedback-Simulator",114632965,4,3
"BerkeleyLab/icar",330906,1,0
"BerkeleyLab/inference-engine",528358,8,1
"BerkeleyLab/LBNL-Cell-controller",166730,2,1
"BerkeleyLab/LBNL-Digitizers",170401,0,1
"BerkeleyLab/LBNL-DSBPM",5613036,0,0
"BerkeleyLab/LBNL-Dual-EVG",13387827,0,1
"BerkeleyLab/LBNL-EVFR",6718171,0,0
"BerkeleyLab/llvm-test-suite",5175200,0,0
"BerkeleyLab/Marble",5087071,16,7
"BerkeleyLab/Marble-Mini",52251835,14,6
"BerkeleyLab/Marble-MMC",2065716,1,1
"BerkeleyLab/matcha",202217,3,1
"BerkeleyLab/neural-fortran",24344574,0,0
"BerkeleyLab/nexport",12128676,0,0
"BerkeleyLab/spiflash_driver",58306179,0,0
"BerkeleyLab/uspas_labs",13633900,3,3
"BerkeleyLab/XVC-FTDI-JTAG",8530423,27,8
"BerkeleyLab/Zest",17877873,7,2
"berkeleysdm/fastbit",30822713,11,2
"bernhold/doe-proposal-latex-template",16647685,5,20
"BESTRL/PNNLFluxV1",116703690,0,0
"betr-biogeochemistry-modeling/sbetr",4551721,9,15
"bfroehle/distmesh",321475503,12,4
"bfrosik/data-quality",159048052,5,5
"bgit138/bgitworld",156119682,0,0
"bh107/bohrium",83198369,219,33
"bhatiaharsh/trajectoryexplorer",227621963,1,0
"biddisco/bgq-source",281008524,2,2
"biddisco/mercury",262162702,0,0
"BigDataCourseBhaganagar/Oak-Ridge-National-Laboratory-ORNL-Rotating-Shadowband-Radiometer-RSR-Analysis",67996003,0,0
"bilalahmad-bhatti/miracl-valuation",18474401,0,1
"billbailey21/ANL-D3-Parser",120777423,0,0
"binmishr/The-Evolution-of-Data-Literacy-at-the-U.S.-Department-of-Energy-Finding-Power-Grid-Cyber-Attacks",49460830,1,0
"bioatmosphere/microbiome-thermal-extreme",3365119,0,0
"bioatmosphere/tam",749380,1,0
"biocatiit/website",5087843,0,0
"biodataganache/leapr",9056209,15,6
